,unit,ticker,exchangeCD,shortNM,currencyCD,barTime,dataDate,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
0,1,000001,XSHG,上证指数,9:30,2016/7/1,2931.802,2931.802,2931.802,2931.802,112326800,1866192819,
1,1,000001,XSHG,上证指数,9:31,2016/7/1,2933.615,2931.994,2935.062,2931.994,217901600,3200835487,
2,1,000001,XSHG,上证指数,9:32,2016/7/1,2933.012,2935.141,2935.141,2933.012,124621100,1692212125,
3,1,000001,XSHG,上证指数,9:33,2016/7/1,2934.104,2933.348,2934.104,2932.727,109101700,1339115760,
4,1,000001,XSHG,上证指数,9:34,2016/7/1,2935.806,2933.892,2935.806,2933.692,94951100,1209111618,
5,1,000001,XSHG,上证指数,9:35,2016/7/1,2938.222,2935.767,2938.222,2935.489,109191000,1378811988,
6,1,000001,XSHG,上证指数,9:36,2016/7/1,2939.422,2938.257,2940.018,2938.257,108899800,1344259885,
7,1,000001,XSHG,上证指数,9:37,2016/7/1,2939.287,2939.727,2940.059,2938.474,110351000,1388401332,
8,1,000001,XSHG,上证指数,9:38,2016/7/1,2939.164,2938.853,2939.522,2938.217,101914400,1264661814,
9,1,000001,XSHG,上证指数,9:39,2016/7/1,2937.919,2938.9,2938.9,2937.733,98950200,1212896957,
10,1,000001,XSHG,上证指数,9:40,2016/7/1,2937.449,2937.919,2938.274,2936.998,94227600,1151913109,
11,1,000001,XSHG,上证指数,9:41,2016/7/1,2937.801,2938.21,2938.329,2937.118,88948100,1105634776,
12,1,000001,XSHG,上证指数,9:42,2016/7/1,2936.503,2937.404,2937.762,2936.237,92039300,1138879634,
13,1,000001,XSHG,上证指数,9:43,2016/7/1,2936.026,2936.852,2936.886,2935.811,83449200,1100337512,
14,1,000001,XSHG,上证指数,9:44,2016/7/1,2935.432,2936.382,2936.619,2935.432,81427900,1056020007,
15,1,000001,XSHG,上证指数,9:45,2016/7/1,2935.623,2936.273,2936.717,2935.623,75955700,970261943.9,
16,1,000001,XSHG,上证指数,9:46,2016/7/1,2935.217,2936.34,2937.034,2935.217,85919000,1077042630,
17,1,000001,XSHG,上证指数,9:47,2016/7/1,2934.003,2935.113,2935.861,2934.003,103025400,1322876835,
18,1,000001,XSHG,上证指数,9:48,2016/7/1,2933.75,2933.622,2934.514,2932.832,89630200,1155711248,
19,1,000001,XSHG,上证指数,9:49,2016/7/1,2933.62,2933.564,2934.526,2933.001,84920500,1087880725,
20,1,000001,XSHG,上证指数,9:50,2016/7/1,2934.026,2934.415,2934.415,2933.365,73193900,954262684,
21,1,000001,XSHG,上证指数,9:51,2016/7/1,2935.344,2934.364,2935.412,2934.286,71322000,953608638.1,
22,1,000001,XSHG,上证指数,9:52,2016/7/1,2935.267,2935.003,2935.847,2934.915,70830300,920628158.3,
23,1,000001,XSHG,上证指数,9:53,2016/7/1,2936.386,2936.048,2936.627,2935.565,69812900,906472628.4,
24,1,000001,XSHG,上证指数,9:54,2016/7/1,2936.88,2936.945,2937.157,2936.45,71921300,948974620,
25,1,000001,XSHG,上证指数,9:55,2016/7/1,2937.618,2936.923,2937.618,2936.715,75368700,996387560,
26,1,000001,XSHG,上证指数,9:56,2016/7/1,2938.095,2937.536,2938.391,2936.963,69628700,883012261.6,
27,1,000001,XSHG,上证指数,9:57,2016/7/1,2938.156,2937.738,2938.156,2937.165,70193100,895361563.8,
28,1,000001,XSHG,上证指数,9:58,2016/7/1,2938.265,2937.877,2938.467,2937.604,66382900,839719557.1,
29,1,000001,XSHG,上证指数,9:59,2016/7/1,2938.335,2938.336,2938.884,2937.923,68581200,857480559.2,
